,Unnamed: 0,iB0,iB1,iB2,Date,LaunchTime,Phip,SondeSerial,SondeType,Pump_loc,SensorResponseType,OzoneScaling,SolutionConcentration,GroundPressureSensorCorrection,10hPaPressureSensorCorrection,TemperatureSensorCorrection,HumiditySensorCorrection,HumiditySensorCorrection2,TOF,TOA,NormalizationFactor,PumpCorrectionFile,PumpcoefficientPC1,PumpcoefficientPC2,PumpcoefficientPC3,PumpCorrectionCorrelation,ExtrapolationTechnique,Dobson,TLab,ULab,RH_correction
18,0,-999.99,-999.99,0.056,1986-10-09,09:10:00,28.6,4A2644,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,279.45,358.21,1.0034,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
19,0,-999.99,-999.99,0.083,1986-10-13,09:18:00,30.4,4A2305,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,321.0,381.95,0.9953,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
20,0,-999.99,-999.99,0.162,1986-10-16,09:10:00,27.2,4A2646,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,274.36,334.13,1.0506,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
21,0,-999.99,-999.99,0.133,1986-10-20,09:07:00,28.6,4A2640,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,286.8,341.8,0.9933,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
22,0,-999.99,-999.99,0.122,1986-10-23,08:42:00,28.1,4A2645,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,255.56,330.96,1.0253,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
23,0,-999.99,-999.99,0.105,1986-10-28,08:59:00,27.2,4A2647,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,266.6,323.4,1.0326,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
24,0,-999.99,-999.99,0.135,1986-10-30,09:10:00,28.6,4A2648,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,222.54,293.38,1.1699,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
25,0,-999.99,-999.99,0.116,1986-11-03,08:06:00,27.1,4A2600,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,291.67,348.85,0.9958,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
26,0,-999.99,-999.99,0.081,1986-11-06,08:11:00,27.3,4A2675,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,237.59,299.49,1.03,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
27,0,-999.99,-999.99,0.06,1986-11-10,08:28:00,28.4,4A2682,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,280.24,335.06,1.005,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
